"user","time","log","frame","train","actions","unique.actions"
"lg-18",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click map.click.cluster map.navigate.zoom map.navigate.move map.navigate.zoom map.click.button.find.events calendar.hover.starglyph calendar.hover.location calendar.hover.keywordmore calendar.hover.starglyph calendar.hover.keywordmore calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.location calendar.click.favorite calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.location calendar.click.favorite calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.starglyph calendar.hover.location calendar.hover.location calendar.hover.location calendar.hover.location calendar.hover.location calendar.hover.starglyph calendar.hover.location calendar.hover.location map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.click.cluster map.click.circle map.click.circle map.click.circle map.click.circle calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph","Low","Spatial",74,12
"lg-12",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.move map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.move map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.move map.click.cluster map.navigate.zoom map.navigate.zoom map.navigate.move map.click.cluster map.click.circle calendar.hover.solidline map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.move map.navigate.move map.navigate.move map.navigate.zoom map.navigate.move map.navigate.move map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.click.cluster map.navigate.zoom map.click.cluster calendar.hover.dottedline calendar.hover.dottedline calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.dottedline calendar.hover.circle calendar.click.date map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom calendar.hover.keywordmore calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.keywordmore map.navigate.move map.click.cluster map.navigate.zoom social.network.hover social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.hover social.network.hover social.network.navigate social.network.hover social.network.hover social.network.hover calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore calendar.hover.keywordmore map.click.cluster map.click.circle word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover","Low","Spatial",124,16
"lt-3",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click menu.click.menu.icon social.network.hover menu.date.picker.click menu.date.picker.click menu.date.picker.click menu.date.picker.click menu.click.menu.icon menu.date.picker.click map.click.cluster menu.click.menu.icon menu.date.picker.click menu.click.menu.icon calendar.hover.solidline calendar.click.date calendar.hover.keywordmore calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location","Low","Time",24,10
"lt-2",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click calendar.hover.solidline calendar.hover.solidline calendar.hover.solidline calendar.hover.circle social.network.hover social.network.hover social.network.hover social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.hover social.network.navigate social.network.hover social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.navigate social.network.hover social.network.hover social.network.hover word.cloud.hover calendar.hover.circle calendar.hover.circle calendar.click.date calendar.hover.location calendar.hover.starglyph calendar.hover.keywordmore word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.navigate word.cloud.navigate word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.navigate word.cloud.navigate word.cloud.navigate word.cloud.navigate","Low","Time",86,13
"lt-1",0.1,"crystalball.login calendar.hover.solidline calendar.hover.dottedline calendar.hover.circle calendar.hover.solidline calendar.hover.solidline calendar.hover.solidline map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.move map.navigate.move map.navigate.move map.navigate.move map.navigate.zoom map.navigate.move map.navigate.move word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover calendar.hover.solidline calendar.hover.solidline calendar.hover.dottedline calendar.hover.solidline calendar.hover.solidline calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.solidline calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.solidline calendar.hover.circle calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.dottedline calendar.click.dottedline","Low","Time",64,8
"lg-21",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click map.click.cluster map.click.cluster map.click.cluster map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.move menu.click.menu.icon menu.date.picker.click menu.click.menu.icon menu.date.picker.click menu.click.menu.icon menu.date.picker.click menu.click.menu.icon menu.date.picker.click menu.click.menu.icon menu.date.picker.click menu.click.menu.icon menu.date.picker.click map.click.cluster map.navigate.zoom map.click.cluster map.navigate.zoom map.click.button.find.events map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom calendar.click.close map.navigate.zoom map.navigate.zoom map.navigate.zoom map.click.cluster map.navigate.zoom map.click.cluster map.navigate.zoom menu.click.tweet.icon map.click.cluster map.click.circle map.click.circle map.click.circle map.click.circle map.click.circle map.click.circle map.navigate.move map.click.circle map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom calendar.hover.solidline calendar.hover.circle calendar.hover.solidline calendar.hover.solidline calendar.hover.circle calendar.hover.solidline calendar.hover.dottedline calendar.hover.dottedline calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.solidline calendar.hover.dottedline calendar.hover.circle calendar.hover.circle calendar.hover.solidline calendar.hover.solidline calendar.hover.circle calendar.hover.dottedline calendar.hover.solidline calendar.click.solidline calendar.click.close calendar.hover.solidline calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.solidline calendar.hover.solidline calendar.hover.solidline calendar.hover.dottedline calendar.hover.dottedline calendar.hover.dottedline calendar.hover.circle calendar.hover.dottedline calendar.hover.circle calendar.hover.circle calendar.hover.circle map.click.cluster map.click.circle map.click.cluster map.click.circle map.navigate.move map.click.circle map.click.circle map.click.circle map.click.circle map.click.circle map.click.circle map.click.cluster map.navigate.zoom map.navigate.zoom map.click.cluster map.click.circle map.click.circle map.click.circle map.click.circle map.click.cluster map.navigate.zoom map.click.cluster map.click.circle map.click.cluster map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.click.button.find.events map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.move map.navigate.move map.navigate.zoom map.navigate.zoom map.click.cluster map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.move map.click.cluster map.click.circle map.click.circle map.navigate.zoom","Low","Spatial",151,14
"lg-20",0.1,"crystalball.login calendar.hover.circle calendar.hover.solidline map.click.cluster map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.click.cluster map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.click.button.find.events calendar.hover.databar calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.emotionbar menu.click.menu.icon menu.click.menu.icon menu.click.tweet.icon calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph menu.click.menu.icon menu.click.menu.icon calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph social.network.hover social.network.hover social.network.hover word.cloud.hover calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.click.favorite calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph social.network.hover calendar.hover.keywordmore calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.click.close calendar.hover.circle menu.click.favorite.icon menu.click.menu.icon menu.click.menu.icon","Low","Spatial",82,19
"lt-17",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click menu.click.menu.icon menu.click.menu.icon calendar.hover.dottedline calendar.hover.solidline calendar.hover.solidline calendar.hover.circle calendar.hover.circle calendar.click.date calendar.hover.location calendar.hover.location calendar.click.location menu.click.menu.icon menu.click.tweet.icon social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover calendar.hover.keywordmore calendar.hover.location calendar.click.location word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.click.favorite calendar.click.favorite calendar.hover.location calendar.hover.location calendar.hover.location calendar.hover.location calendar.hover.location calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.location calendar.hover.emotionbar calendar.hover.location calendar.hover.emotionbar calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.click.location calendar.hover.keywordmore calendar.hover.location calendar.click.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph","Low","Time",104,16
"lg-11",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click menu.click.menu.icon menu.date.picker.click map.click.cluster map.click.cluster map.navigate.zoom map.navigate.move map.navigate.move map.navigate.zoom map.navigate.zoom map.navigate.zoom map.navigate.zoom map.click.button.find.events calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.databar calendar.hover.databar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.databar calendar.hover.databar calendar.hover.emotionbar calendar.hover.emotionbar calendar.hover.databar calendar.hover.databar social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover word.cloud.hover calendar.hover.location calendar.click.location word.cloud.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover social.network.hover menu.click.tweet.icon menu.click.menu.icon menu.click.menu.icon calendar.hover.location calendar.hover.location calendar.hover.location calendar.click.location calendar.hover.emotionbar word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover word.cloud.hover","Low","Spatial",69,15
"lt-11",0.1,"crystalball.login menu.click.menu.icon menu.date.picker.click calendar.hover.solidline calendar.hover.solidline calendar.hover.dottedline calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.circle calendar.hover.circle map.click.cluster map.click.cluster map.navigate.zoom map.navigate.move word.cloud.hover map.navigate.move word.cloud.hover map.navigate.move map.navigate.zoom map.navigate.move map.navigate.move map.navigate.move map.navigate.zoom calendar.hover.circle calendar.hover.solidline calendar.hover.circle calendar.hover.circle calendar.hover.dottedline calendar.click.date calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.starglyph calendar.hover.location map.click.cluster map.click.circle map.click.cluster map.click.circle map.click.cluster map.navigate.zoom map.click.cluster map.navigate.zoom map.click.cluster map.click.circle map.click.circle map.click.circle map.click.circle map.navigate.zoom map.navigate.zoom calendar.click.close calendar.hover.solidline calendar.click.date calendar.hover.starglyph map.navigate.zoom","Low","Time",61,15
